date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-02-21,3186,581,960056,1652.41996557659,3.01887165,3854380.4232077538785,1276761.940467023821252386166,185.960708828877,0.000831260125,0.0009368386164327918789625,0.001,0.0011270101719757,1.72902106,1.948624322180207108242,13140,140.23663708094,14808.913659760698,13140,14808.913659760698,17.68770302,,0.0019420350672121616,1.1270101719757,,,3420005,2080,4119,193354.95381499,217912.999751385410700575743,51.1740708518524,57.67369839144282992091278668,4.86387558,5.481637253884207583406,210785.99783878,237557.963674352976322677646,,,
2014-02-22,3372,575,881942,1533.81217391304,2.70219157,3881541.85678249811678,1436442.147247613259777357936,226.250564029091,0.000745171709776414,0.0008426204478552913315372908484,0.001,0.00113077353420746,1.69973667,1.9220172415579191495582,12638,134.382456899829,14290.71592531387948,12638,14290.71592531387948,16.55969415,,0.0018625064313267077,1.13077353420746,,,3432643,2281,4511,207289.03375083,234396.9532968754974751671918,52.2545879761361,59.08810512433006228350659531,4.94005007,5.5860778768157101675222,235720.44636035,266546.442215852970778818211,,,
2014-02-23,3762,565,1209834,2141.29911504425,2.46364753,3951461.8623294840669,1603907.136535488925914166632,189.270645101111,0.00081050317626527,0.0009295259572104768502837009287,0.001,0.00114685048057881,1.85767328,2.1304734939264142711968,12847,136.095446511236,14733.58812399597207,12847,14733.58812399597207,10.02523693,,0.0018798290590298012,1.14685048057881,,,3445490,2292,4519,343681.65292565,394151.4688239014843418954765,83.7177682534521,96.01176275445698398478861,5.00464923,5.7395843745538714208163,378320.59473735,433877.1558873910648679255535,,,
2014-02-24,4082,583,1448763,2485.01372212693,1.76168558,2881801.840885353250648,1635820.757106026817602943011,215.49751178971,0.0014420706543263,0.001201645697284829840533947005,0.001,0.000833277962962369,3.34993013,2.79142295479266396927797,12902,136.168196086505,10750.952278140484838,12902,10750.952278140484838,4.88051602,,0.0015366572180011697,0.833277962962369,,,3458392,2323,4533,708611.954929,590470.726334019153151066801,235.538066787913,196.2686804931265646699230459,5.47415474,4.56149251068799670297906,1067694.05674961,889685.9286753430267948854261,,,
2014-02-25,3486,557,1020764,1832.61041292639,1.29850357,2035699.53542010013,1567727.332161842242019830066,182.194356156535,0.000806106375227687,0.0004727607469577720300461312008,0.001,0.00058647439281725,1.7702096,1.0381826003192669956,12688,133.420145891192,7441.187096065268,12688,7441.187096065268,7.02995249,,0.0010988682641729995,0.58647439281725,,,3471080,2196,4317,493755.8260571,289575.148286817428628364975,209.18456372789,122.6813899990556258994981025,5.48609064,3.21745167703439845554,903049.7616133,529615.560625922474292069425,,,
2014-02-26,3099,556,953666,1715.22661870504,1.23996267,2107319.230664561188275,1699502.161821908943812353544,167.554535705789,0.00126240002007025,0.0007635848082944618178363744412,0.001,0.000604867550819565,2.51596324,1.5218245229308574127906,12855,134.677455233809,7775.572365785508075,12855,7775.572365785508075,6.43074993,,0.0010294240853302166,0.604867550819565,,,3483935,1993,3939,541761.85326762,327694.1653134538570042769853,285.427173165468,172.6456351699484949387567814,5.09029615,3.07895496519676106417475,1124297.63509878,680051.1569344280578987316307,,,
2014-02-27,2741,581,771673,1328.18072289157,1.18183885,2120420.94130566788398,1794170.954625409957782220557,138.473422035307,0.0012071572212693,0.0007318251622017251248168389855,0.001,0.000606238482699235,2.11131798,1.2799622086908137877453,13733,143.311057538909,8325.473082908594255,13733,8325.473082908594255,14.49228738,,0.0010356077440093522,0.606238482699235,,,3497668,1749,3454,241346.85634966,146313.7519976481087157745101,165.977409168906,100.6218926969076687409119869,5.059866235,3.067485628967490836830225,573285.9712694,347548.017375118285171358909,,,
2014-02-28,2699,579,927267,1601.49740932642,1.07480886,1909263.248740263611832,1776374.684647752959332490201,145.211141593903,0.000891489539279386,0.0004847602395259396969189791498,0.001,0.000543764360844642,1.50929179,0.82069908551741563608918,13528,140.627865832611,7356.044273506316976,13528,7356.044273506316976,19.96764236,,0.0009863405026300416,0.543764360844642,,,3511196,1693,3351,175844.29531284,95617.86084896291966402780328,97.7455868907132,53.15056658101308114409777867,5.05352444,2.74792648712937739005048,327545.46167078,178107.5486129748712373309608,,,
2014-03-01,3579,588,1276752,2171.34693877551,1.73220484,3333741.700092544303101,1924565.518606036362509860471,190.397689162097,0.00118224611818182,0.001118287685667376192432546568,0.001,0.000945900915612389,2.60094146,2.46023290846822383974794,13213,136.83840326137,12498.188797986495857,13213,12498.188797986495857,8.8353644,,0.0016666852086499135,0.945900915612389,,,3524409,2200,4329,398897.97854753,377317.9631440397321746933492,169.837024424135,160.6489969076729701335966085,5.11526792,4.83853660913068060626088,735224.47873208,695449.5076133158951594597391,,,
2014-03-02,3815,566,1314682,2322.75971731449,1.66355972,3569315.16112716858635,2145588.831059127088104100839,258.512926684718,0.00113273242022379,0.001143228490236952913216957094,0.001,0.00100926615132203,2.73328333,2.7586103469417620607599,12136,125.253319270644,12248.45401244415608,12136,12248.45401244415608,9.32840873,,0.0018070117890122725,1.00926615132203,,,3536545,2413,4779,379115.57088867,382628.5131370622077024484001,246.882844895229,249.1704986948414536351895949,4.89890229,4.9442962599309792944487,1179853.1157543,1190785.813262647921565657229,,,
